parent_id,child_id,birth_order,adoptive
1,1.1,1,
1a,1.1,1,
1.1,1.1.1,1,
1.1a,1.1.1,1,
1.1,1.1.2,2,
1.1a,1.1.2,2,
1.1,1.1.3,3,
1.1a,1.1.3,3,
1.1.3,1.1.3.1,1,
1.1.3a,1.1.3.1,1,
1.1.3.1,1.1.3.1.1,1,
1.1.3.1a,1.1.3.1.1,1,
1.1.3.1.1,1.1.3.1.1.1,1,
1.1.3.1.1a,1.1.3.1.1.1,1,
1.1.3.1,1.1.3.1.2,2,
1.1.3.1a,1.1.3.1.2,2,
1.1.3,1.1.3.2,2,
1.1.3a,1.1.3.2,2,
1.1.3.2,1.1.3.2.1,1,
1.1.3.2a,1.1.3.2.1,1,
1.1.3.2,1.1.3.2.2,2,
1.1.3.2a,1.1.3.2.2,2,
1.1.3.2.2,1.1.3.2.2.1,1,TRUE
1.1.3.2.2a,1.1.3.2.2.1,1,
1.1.3.2.2,1.1.3.2.2.2,2,
1.1.3.2.2a,1.1.3.2.2.2,2,
1.1,1.1.4,4,
1.1a,1.1.4,4,
1.1,1.1.5,5,
1.1a,1.1.5,5,
1.1,1.1.6,6,
1.1a,1.1.6,6,
1.1.6,1.1.6.1,1,
1.1.6a,1.1.6.1,1,
1.1.6,1.1.6.2,2,
1.1.6a,1.1.6.2,2,
1.1.6.2,1.1.6.2.1,1,
1.1.6.2a,1.1.6.2.1,1,
1.1.6.2,1.1.6.2.2,2,
1.1.6.2a,1.1.6.2.2,2,
1.1.6.2,1.1.6.2.3,3,
1.1.6.2a,1.1.6.2.3,3,
1.1.6.2.3,1.1.6.2.3.1,1,
1.1.6.2.3a,1.1.6.2.3.1,1,
1.1.6.2.3,1.1.6.2.3.2,2,
1.1.6.2.3a,1.1.6.2.3.2,2,
1.1.6.2,1.1.6.2.4,4,
1.1.6.2a,1.1.6.2.4,4,
1,1.2,2,
1a,1.2,2,
1.2,1.2.1,1,
1.2a,1.2.1,1,
1,1.3,3,
1a,1.3,3,
1.3,1.3.1,1,
1.3a,1.3.1,1,
1.3.1,1.3.1.1,1,
1.3.1a,1.3.1.1,1,
1.3.1,1.3.1.2,2,
1.3.1a,1.3.1.2,2,
1.3,1.3.2,2,
1.3a,1.3.2,2,
1.3.2,1.3.2.1,1,
1.3.2a,1.3.2.1,1,
1.3.2.1,1.3.2.1.1,1,
1.3.2.1a,1.3.2.1.1,1,
1.3.2.1,1.3.2.1.2,2,
1.3.2.1a,1.3.2.1.2,2,
1.3.2.1.2,1.3.2.1.2.1,1,
1.3.2.1.2a,1.3.2.1.2.1,1,
1.3.2.1.2.1,1.3.2.1.2.1.1,1,
1.3.2.1.2.1a,1.3.2.1.2.1.1,1,
1.3.2.1.2.1,1.3.2.1.2.1.2,2,
1.3.2.1.2.1a,1.3.2.1.2.1.2,2,
1.3.2.1.2.1,1.3.2.1.2.1.3,3,
1.3.2.1.2.1a,1.3.2.1.2.1.3,3,
1.3.2.1.2,1.3.2.1.2.2,2,
1.3.2.1.2a,1.3.2.1.2.2,2,
1.3.2.1.2.2,1.3.2.1.2.2.1,1,
1.3.2.1.2.2a,1.3.2.1.2.2.1,1,
1.3.2.1,1.3.2.1.3,3,
1.3.2.1a,1.3.2.1.3,3,
1.3.2.1.3,1.3.2.1.3.1,1,
1.3.2.1.3a,1.3.2.1.3.1,1,
1.3.2.1.3,1.3.2.1.3.2,2,
1.3.2.1.3a,1.3.2.1.3.2,2,
1.3.2.1.3.2,1.3.2.1.3.2.1,1,
1.3.2.1.3.2a,1.3.2.1.3.2.1,1,
1.3.2.1.3,1.3.2.1.3.3,3,
1.3.2.1.3a,1.3.2.1.3.3,3,
1.3.2.1.3,1.3.2.1.3.4,4,
1.3.2.1.3a,1.3.2.1.3.4,4,
1.3.2,1.3.2.2,2,
1.3.2a,1.3.2.2,2,
1.3,1.3.3,3,
1.3a,1.3.3,3,
1.3,1.3.4,4,
1.3a,1.3.4,4,
1.3.4,1.3.4.1,1,
1.3.4a,1.3.4.1,1,
1.3.4,1.3.4.2,2,
1.3.4a,1.3.4.2,2,
1.3.4.2,1.3.4.2.1,1,
1.3.4.2a,1.3.4.2.1,1,
1.3.4.2,1.3.4.2.2,2,
1.3.4.2a,1.3.4.2.2,2,
1.3.4.2.2,1.3.4.2.2.1,1,
1.3.4.2.2a,1.3.4.2.2.1,1,
1.3.4.2.2.1,1.3.4.2.2.1.1,1,
1.3.4.2.2.1a,1.3.4.2.2.1.1,1,
1.3.4.2.2,1.3.4.2.2.2,2,
1.3.4.2.2a,1.3.4.2.2.2,2,
1.3.4.2.2,1.3.4.2.2.3,3,
1.3.4.2.2a,1.3.4.2.2.3,3,
1.3.4.2.2,1.3.4.2.2.4,4,
1.3.4.2.2a,1.3.4.2.2.4,4,
1.3.4,1.3.4.3,3,
1.3.4a,1.3.4.3,3,
1.3.4.3,1.3.4.3.1,1,
1.3.4.3a,1.3.4.3.1,1,
1.3.4.3.1,1.3.4.3.1.1,1,
1.3.4.3.1a,1.3.4.3.1.1,1,
1.3.4.3.1,1.3.4.3.1.2,2,
1.3.4.3.1a,1.3.4.3.1.2,2,
1.3.4.3,1.3.4.3.2,2,
1.3.4.3a,1.3.4.3.2,2,
1.3.4.3.2,1.3.4.3.2.1,1,
1.3.4.3.2a,1.3.4.3.2.1,1,
1.3.4.3.2,1.3.4.3.2.2,2,
1.3.4.3.2a,1.3.4.3.2.2,2,
1.3.4.3.2,1.3.4.3.2.3,3,
1.3.4.3.2a,1.3.4.3.2.3,3,
1.3.4.3.2,1.3.4.3.2.4,4,
1.3.4.3.2a,1.3.4.3.2.4,4,
1.3.4.3,1.3.4.3.3,3,
1.3.4.3a,1.3.4.3.3,3,
1.3.4.3.3,1.3.4.3.3.1,1,
1.3.4.3.3a,1.3.4.3.3.1,1,
1.3.4.3.3,1.3.4.3.3.2,2,
1.3.4.3.3b,1.3.4.3.3.2,2,
1.3.4,1.3.4.4,4,
1.3.4a,1.3.4.4,4,
1.3.4,1.3.4.5,5,
1.3.4a,1.3.4.5,5,
1.3.4.5,1.3.4.5.1,1,
1.3.4.5a,1.3.4.5.1,1,
1.3.4.5,1.3.4.5.2,2,
1.3.4.5a,1.3.4.5.2,2,
1.3.4.5,1.3.4.5.3,3,
1.3.4.5a,1.3.4.5.3,3,
1.3.4.5.3,1.3.4.5.3.1,1,
1.3.4.5.3a,1.3.4.5.3.1,1,
1.3.4,1.3.4.6,6,
1.3.4a,1.3.4.6,6,
1.3,1.3.5,5,
1.3a,1.3.5,5,
1.3.5,1.3.5.1,1,
1.3.5a,1.3.5.1,1,
1.3.5.1,1.3.5.1.1,1,
1.3.5.1a,1.3.5.1.1,1,
1.3.5.1,1.3.5.1.2,2,
1.3.5.1a,1.3.5.1.2,2,
1.3.5.1,1.3.5.1.3,3,
1.3.5.1a,1.3.5.1.3,3,
1.3.5.1.3,1.3.5.1.3.1,1,
1.3.5.1.3a,1.3.5.1.3.1,1,
1.3.5.1.3,1.3.5.1.3.2,2,
1.3.5.1.3a,1.3.5.1.3.2,2,
1.3.5,1.3.5.2,2,
1.3.5a,1.3.5.2,2,
1.3.5,1.3.5.3,3,
1.3.5a,1.3.5.3,3,
1.3.5.3,1.3.5.3.1,1,
1.3.5.3a,1.3.5.3.1,1,
1.3.5.3.1,1.3.5.3.1.1,1,
1.3.5.3.1a,1.3.5.3.1.1,1,
1.3.5.3.1,1.3.5.3.1.2,2,
1.3.5.3.1a,1.3.5.3.1.2,2,
1.3.5.3,1.3.5.3.2,2,
1.3.5.3a,1.3.5.3.2,2,
1.3.5.3.2,1.3.5.3.2.1,1,
1.3.5.3.2a,1.3.5.3.2.1,1,
1.3.5.3.2,1.3.5.3.2.2,2,
1.3.5.3.2a,1.3.5.3.2.2,2,
1.3.5.3,1.3.5.3.3,3,
1.3.5.3a,1.3.5.3.3,3,
1.3.5.3.3,1.3.5.3.3.1,1,
1.3.5.3.3a,1.3.5.3.3.1,1,
1.3.5,1.3.5.4,4,
1.3.5a,1.3.5.4,4,
1.3.5.4,1.3.5.4.1,1,
1.3.5.4a,1.3.5.4.1,1,
1.3.5.4.1,1.3.5.4.1.1,1,
1.3.5.4.1a,1.3.5.4.1.1,1,
1.3.5.4.1,1.3.5.4.1.2,2,
1.3.5.4.1a,1.3.5.4.1.2,2,
1.3.5.4,1.3.5.4.2,2,
1.3.5.4a,1.3.5.4.2,2,
1.3.5.4.2,1.3.5.4.2.1,1,
1.3.5.4.2a,1.3.5.4.2.1,1,
1.3.5.4.2,1.3.5.4.2.2,2,
1.3.5.4.2a,1.3.5.4.2.2,2,
1.3.5.4.2,1.3.5.4.2.3,3,
1.3.5.4.2a,1.3.5.4.2.3,3,
1.3.5.4.2,1.3.5.4.2.4,4,
1.3.5.4.2a,1.3.5.4.2.4,4,
1.3.5.4.2,1.3.5.4.2.5,5,
1.3.5.4.2a,1.3.5.4.2.5,5,
1.3.5.4,1.3.5.4.3,3,
1.3.5.4a,1.3.5.4.3,3,
1.3.5.4.3,1.3.5.4.3.1,1,
1.3.5.4.3a,1.3.5.4.3.1,1,
1.3.5.4.3,1.3.5.4.3.2,2,
1.3.5.4.3a,1.3.5.4.3.2,2,
1.3.5.4.3,1.3.5.4.3.3,3,
1.3.5.4.3a,1.3.5.4.3.3,3,
1.3.5,1.3.5.5,5,
1.3.5a,1.3.5.5,5,
1.3.5.5,1.3.5.5.1,1,
1.3.5.5a,1.3.5.5.1,1,
1.3.5.5.1,1.3.5.5.1.1,1,
1.3.5.5.1a,1.3.5.5.1.1,1,
1.3.5.5,1.3.5.5.2,2,
1.3.5.5a,1.3.5.5.2,2,
1.3.5,1.3.5.6,6,
1.3.5a,1.3.5.6,6,
1.3.5.6,1.3.5.6.1,1,
1.3.5.6a,1.3.5.6.1,1,
1.3.5.6.1,1.3.5.6.1.1,1,
1.3.5.6.1a,1.3.5.6.1.1,1,
1.3.5.6.1,1.3.5.6.1.2,2,
1.3.5.6.1a,1.3.5.6.1.2,2,
1.3.5.6,1.3.5.6.2,2,
1.3.5.6a,1.3.5.6.2,2,
1.3.5.6.2,1.3.5.6.2.1,1,
1.3.5.6.2a,1.3.5.6.2.1,1,
1.3.5.6.2,1.3.5.6.2.2,2,
1.3.5.6.2a,1.3.5.6.2.2,2,
1.3.5.6,1.3.5.6.3,3,
1.3.5.6a,1.3.5.6.3,3,
1.3.5.6.3,1.3.5.6.3.1,1,
1.3.5.6.3a,1.3.5.6.3.1,1,
1.3.5.6,1.3.5.6.4,4,
1.3.5.6a,1.3.5.6.4,4,
1.3,1.3.6,6,
1.3a,1.3.6,6,
1.3,1.3.7,7,
1.3a,1.3.7,7,
1.3.7,1.3.7.1,1,
1.3.7a,1.3.7.1,1,
1.3.7.1,1.3.7.1.1,1,
1.3.7.1a,1.3.7.1.1,1,
1.3.7.1,1.3.7.1.2,2,
1.3.7.1a,1.3.7.1.2,2,
1.3.7.1.2,1.3.7.1.2.1,1,
1.3.7.1.2a,1.3.7.1.2.1,1,
1.3.7.1.2,1.3.7.1.2.2,2,
1.3.7.1.2a,1.3.7.1.2.2,2,
1.3.7.1,1.3.7.1.3,3,
1.3.7.1a,1.3.7.1.3,3,
1.3.7.1.3,1.3.7.1.3.1,1,
1.3.7.1.3a,1.3.7.1.3.1,1,
1.3.7.1.3,1.3.7.1.3.2,2,
1.3.7.1.3a,1.3.7.1.3.2,2,
1.3.7.1,1.3.7.1.4,4,
1.3.7.1b,1.3.7.1.4,4,
1.3.7,1.3.7.2,2,
1.3.7a,1.3.7.2,2,
1.3.7.2,1.3.7.2.1,1,
1.3.7.2a,1.3.7.2.1,1,
1.3.7.2.1,1.3.7.2.1.1,1,
1.3.7.2.1a,1.3.7.2.1.1,1,
1.3.7.2.1,1.3.7.2.1.2,2,
1.3.7.2.1a,1.3.7.2.1.2,2,
1.3.7.2.1,1.3.7.2.1.3,3,
1.3.7.2.1a,1.3.7.2.1.3,3,
1.3.7.2.1,1.3.7.2.1.4,4,
1.3.7.2.1a,1.3.7.2.1.4,4,
1.3.7.2,1.3.7.2.2,2,
1.3.7.2a,1.3.7.2.2,2,
1.3.7.2.2,1.3.7.2.2.1,1,
1.3.7.2.2a,1.3.7.2.2.1,1,
1.3.7.2.2,1.3.7.2.2.2,2,
1.3.7.2.2a,1.3.7.2.2.2,2,
1.3.7.2.2,1.3.7.2.2.3,3,
1.3.7.2.2a,1.3.7.2.2.3,3,
1.3.7.2,1.3.7.2.3,3,
1.3.7.2a,1.3.7.2.3,3,
1.3.7.2.3,1.3.7.2.3.1,1,
1.3.7.2.3a,1.3.7.2.3.1,1,
1.3.7.2.3,1.3.7.2.3.2,2,
1.3.7.2.3a,1.3.7.2.3.2,2,
1.3.7.2.3,1.3.7.2.3.3,3,
1.3.7.2.3a,1.3.7.2.3.3,3,
1.3.7.2.3,1.3.7.2.3.4,4,
1.3.7.2.3a,1.3.7.2.3.4,4,
1.3.7.2,1.3.7.2.4,4,
1.3.7.2a,1.3.7.2.4,4,
1.3.7.2.4,1.3.7.2.4.1,1,
1.3.7.2.4a,1.3.7.2.4.1,1,
1.3.7.2.4,1.3.7.2.4.2,2,
1.3.7.2.4a,1.3.7.2.4.2,2,
1.3.7.2.4,1.3.7.2.4.3,3,
1.3.7.2.4a,1.3.7.2.4.3,3,
1.3,1.3.8,8,
1.3a,1.3.8,8,
1.3.8,1.3.8.1,1,
1.3.8a,1.3.8.1,1,
1.3.8.1,1.3.8.1.1,1,
1.3.8.1a,1.3.8.1.1,1,
1.3.8.1.1,1.3.8.1.1.1,1,
1.3.8.1.1a,1.3.8.1.1.1,1,
1.3.8.1.1,1.3.8.1.1.2,2,
1.3.8.1.1a,1.3.8.1.1.2,2,
1.3.8.1.1,1.3.8.1.1.3,3,
1.3.8.1.1a,1.3.8.1.1.3,3,
1.3.8.1,1.3.8.1.2,2,
1.3.8.1a,1.3.8.1.2,2,
1.3.8,1.3.8.2,2,
1.3.8a,1.3.8.2,2,
1.3.8.2,1.3.8.2.1,1,
1.3.8.2a,1.3.8.2.1,1,
1.3.8.2.1,1.3.8.2.1.1,1,
1.3.8.2.1a,1.3.8.2.1.1,1,
1.3.8.2.1,1.3.8.2.1.2,2,
1.3.8.2,1.3.8.2.2,2,
1.3.8.2a,1.3.8.2.2,2,
1.3.8.2.2,1.3.8.2.2.1,1,
1.3.8.2.2a,1.3.8.2.2.1,1,
1.3.8.2.2,1.3.8.2.2.2,2,
1.3.8.2.2a,1.3.8.2.2.2,2,
1.3.8.2,1.3.8.2.3,3,
1.3.8.2a,1.3.8.2.3,3,
1.3.8.2.3,1.3.8.2.3.1,1,
1.3.8.2.3a,1.3.8.2.3.1,1,
1.3,1.3.9,9,
1.3a,1.3.9,9,
1.3.9,1.3.9.1,1,
1.3.9a,1.3.9.1,1,
1.3.9.1,1.3.9.1.1,1,
1.3.9.1a,1.3.9.1.1,1,
1.3.9.1,1.3.9.1.2,2,
1.3.9.1a,1.3.9.1.2,2,
1.3.9,1.3.9.2,2,
1.3.9a,1.3.9.2,2,
1.3.9.2,1.3.9.2.1,1,
1.3.9.2a,1.3.9.2.1,1,
1.3.9.2.1,1.3.9.2.1.1,1,
1.3.9.2.1a,1.3.9.2.1.1,1,
1.3.9.2.1.1,1.3.9.2.1.1.1,1,
1.3.9.2.1.1a,1.3.9.2.1.1.1,1,
1.3.9.2.1.1,1.3.9.2.1.1.2,2,
1.3.9.2.1.1a,1.3.9.2.1.1.2,2,
1.3.9.2.1.1,1.3.9.2.1.1.3,3,
1.3.9.2.1.1a,1.3.9.2.1.1.3,3,
1.3.9.2.1,1.3.9.2.1.2,2,
1.3.9.2.1a,1.3.9.2.1.2,2,
1.3.9.2,1.3.9.2.2,2,
1.3.9.2a,1.3.9.2.2,2,
1.3.9.2.2,1.3.9.2.2.1,1,
1.3.9.2.2a,1.3.9.2.2.1,1,
1.3.9.2.2,1.3.9.2.2.2,2,
1.3.9.2.2a,1.3.9.2.2.2,2,
1.3.9.2.2,1.3.9.2.2.3,3,
1.3.9.2.2a,1.3.9.2.2.3,3,
1.3.9.2.2,1.3.9.2.2.4,4,
1.3.9.2.2a,1.3.9.2.2.4,4,
1.3.9.2,1.3.9.2.3,3,
1.3.9.2a,1.3.9.2.3,3,
1.3.9.2.3,1.3.9.2.3.1,1,
1.3.9.2.3a,1.3.9.2.3.1,1,
1.3.9.2.3,1.3.9.2.3.2,2,
1.3.9.2.3a,1.3.9.2.3.2,2,
1.3.9.2.3,1.3.9.2.3.3,3,
1.3.9.2.3a,1.3.9.2.3.3,3,
1.3.9.2.3,1.3.9.2.3.4,4,
1.3.9.2.3a,1.3.9.2.3.4,4,
1.3.9.2.3,1.3.9.2.3.5,5,
1.3.9.2.3a,1.3.9.2.3.5,5,
1.3.9.2,1.3.9.2.4,4,
1.3.9.2a,1.3.9.2.4,4,
1.3.9.2.4,1.3.9.2.4.1,1,
1.3.9.2.4a,1.3.9.2.4.1,1,
1.3.9.2.4,1.3.9.2.4.2,2,
1.3.9.2.4a,1.3.9.2.4.2,2,
1.3.9,1.3.9.3,3,
1.3.9a,1.3.9.3,3,
1.3.9.3,1.3.9.3.1,1,
